Quotazioni Immobiliari : Valori di Mercato - Semestre 2016/1 - elaborazione del 01-SET-20;;;;;;;;;;;;;;;;;;;;;
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;DescrZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;'PORTA VIGENTINA, PORTA ROMANA';10;Laboratori;NORMALE;P;1100;1800;L;5,8;9;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';20;Abitazioni civili;OTTIMO;;5100;6900;L;14,8;20,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';20;Abitazioni civili;NORMALE;P;4100;4900;L;12,3;14,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';21;Abitazioni di tipo economico;NORMALE;P;3200;3800;L;9,5;12;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';21;Abitazioni di tipo economico;OTTIMO;;3900;4600;L;12,7;13,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';13;Box;NORMALE;P;2100;2850;L;8,5;12;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';9;Magazzini;NORMALE;P;700;850;L;3,5;5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';5;Negozi;NORMALE;P;2750;3500;L;13,8;17,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';6;Uffici;OTTIMO;P;2950;3700;L;13,8;17;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';18;Uffici strutturati;OTTIMO;P;3300;4300;L;16;22;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';10;Laboratori;NORMALE;P;1250;1700;L;6,8;9;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';20;Abitazioni civili;OTTIMO;;5200;6100;L;17,5;19,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';20;Abitazioni civili;NORMALE;P;3700;5100;L;13;17;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';21;Abitazioni di tipo economico;OTTIMO;;3900;4800;L;11,5;16,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';21;Abitazioni di tipo economico;NORMALE;P;3000;3900;L;10;11,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';13;Box;NORMALE;P;2450;3500;L;10;13;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';9;Magazzini;NORMALE;P;750;1050;L;4,2;5,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';5;Negozi;OTTIMO;P;5800;8300;L;27;38;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';5;Negozi;NORMALE;;2200;3200;L;9,5;14;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';6;Uffici;OTTIMO;P;2900;3700;L;11;13,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';18;Uffici strutturati;OTTIMO;P;3400;4600;L;15,5;23;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';8;Capannoni industriali;NORMALE;P;900;1150;L;5;7;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';7;Capannoni tipici;NORMALE;P;950;1250;L;5;7;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';10;Laboratori;NORMALE;P;1250;1600;L;7;9,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C13;MI00003667;'CITY LIFE';20;Abitazioni civili;OTTIMO;P;7000;9800;L;21;32;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C13;MI00003667;'CITY LIFE';19;Abitazioni signorili;OTTIMO;P;9900;11700;L;33,5;39;L
